# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AATBC	AATBC	NR_026961.1		0	2	0	674	0	0	0	206	0	94	0	198	0	0	2	0	0	0	0	0	178
ABCC13	ABCC13	NR_003087.1		0	0	0	1095	0	0	0	127	0	720	0	74	0	0	0	0	0	0	0	0	174
ABCC13	ABCC13	NR_003088.1		0	0	0	825	0	0	0	144	0	492	0	15	0	0	0	0	0	0	0	0	174
ABCG1	ABCG1	NM_004915.3	protein_coding	1	45	21	2942	34	0	0	152	0	2588	21	0	0	0	15	0	1	0	0	33	180
ABCG1	ABCG1	NM_016818.2	protein_coding	0	45	21	2943	34	0	0	152	0	2589	21	0	0	0	15	0	0	0	0	33	180
ABCG1	ABCG1	NM_207174.1	protein_coding	0	44	21	2919	34	0	4	152	0	2568	21	0	0	0	14	0	0	0	0	32	173
ABCG1	ABCG1	NM_207627.1	protein_coding	0	50	22	3549	34	3	11	152	0	3231	22	0	0	0	16	0	0	0	0	33	135
ABCG1	ABCG1	NM_207628.1	protein_coding	0	53	19	3545	34	5	15	152	0	3229	19	0	0	0	18	0	0	0	0	32	131
ABCG1	ABCG1	NM_207629.1	protein_coding	0	47	20	3046	34	1	4	152	0	2694	20	0	0	0	15	0	0	0	0	33	175
ADAMTS1	ADAMTS1	NM_006988.5	protein_coding	1	43	54	443	44	3	12	130	0	127	54	0	0	0	6	0	1	0	0	37	133
ADAMTS5	ADAMTS5	NM_007038.5	protein_coding	2	41	59	1439	165	1	18	142	0	997	59	0	0	0	4	0	2	0	0	37	120
ADARB1	ADARB1	NM_001112.4	protein_coding	1	41	20	4599	152	0	4	153	0	4156	20	0	0	1	2	0	0	0	0	40	136
ADARB1	ADARB1	NM_001160230.2	protein_coding	1	40	19	4601	42	0	4	153	0	4268	19	0	0	1	2	0	0	0	0	39	136
ADARB1	ADARB1	NM_001346687.2	protein_coding	1	41	28	2342	44	2	4	153	0	1974	28	0	0	1	2	0	0	0	0	38	169
ADARB1	ADARB1	NM_001346688.1	protein_coding	1	41	19	4593	43	0	5	152	0	4260	19	0	0	1	3	0	0	0	0	39	135
ADARB1	ADARB1	NM_015833.4	protein_coding	1	41	22	4597	152	0	4	153	0	4154	22	0	0	1	2	0	0	0	0	40	136
ADARB1	ADARB1	NM_015834.4	protein_coding	1	40	21	4599	42	0	4	153	0	4266	21	0	0	1	2	0	0	0	0	39	136
ADARB1	ADARB1	NR_027672.2		1	2	0	4658	0	0	0	153	0	4253	0	119	0	1	2	0	0	0	0	0	136
ADARB1	ADARB1	NR_027673.1		1	3	0	4657	0	0	0	152	0	4217	0	156	0	1	3	0	0	0	0	0	136
ADARB1	ADARB1	NR_027674.2		1	2	0	4658	0	0	0	153	0	4222	0	150	0	1	2	0	0	0	0	0	136
ADARB1	ADARB1	NR_073200.2		1	2	0	4658	0	0	0	153	0	4220	0	152	0	1	2	0	0	0	0	0	136
ADARB1	ADARB1	NR_144483.2		1	2	0	4658	0	0	0	153	0	4261	0	111	0	1	2	0	0	0	0	0	136
AGPAT3	AGPAT3	NM_001037553.2	protein_coding	0	25	11	2445	177	0	5	180	0	1942	11	0	0	0	5	0	0	0	0	22	144
AGPAT3	AGPAT3	NM_001369878.1	protein_coding	0	25	11	4275	177	0	4	180	0	3795	11	0	0	0	5	0	0	0	0	22	122
AGPAT3	AGPAT3	NM_001369880.1	protein_coding	0	26	11	2701	177	1	13	180	0	2202	11	0	0	0	5	0	0	0	0	22	132
AGPAT3	AGPAT3	NM_001369881.1	protein_coding	0	24	8	4281	177	2	8	180	0	3797	8	0	0	0	5	0	0	0	0	19	122
